i,x_{i-1},x_i,a,b,c,d
1,0,0.05,1.00083,0.0306973,0.842672,16.8534
2,0.05,0.1,1.00332,0.0669172,0.606123,-4.73097
3,0.1,0.15,1.00744,0.0983421,0.650873,0.895006
4,0.15,0.2,1.01316,0.129942,0.613108,-0.755309
5,0.2,0.25,1.02041,0.160051,0.59128,-0.43655
6,0.25,0.3,1.02914,0.188837,0.560137,-0.622868
7,0.3,0.35,1.03927,0.216031,0.527646,-0.649821
8,0.35,0.4,1.05072,0.241544,0.492872,-0.695487
9,0.4,0.45,1.0634,0.265296,0.457198,-0.713473
10,0.45,0.5,1.07722,0.287258,0.421273,-0.718502
11,0.5,0.55,1.09209,0.307435,0.3858,-0.709466
12,0.55,0.6,1.10793,0.325862,0.3513,-0.689999
13,0.6,0.65,1.12465,0.3426,0.318218,-0.66163
14,0.65,0.7,1.14216,0.357724,0.286748,-0.629407
15,0.7,0.75,1.1604,0.37133,0.25748,-0.585365
16,0.75,0.8,1.17927,0.383493,0.229055,-0.568491
17,0.8,0.85,1.19873,0.394395,0.206999,-0.441115
18,0.85,0.9,1.21869,0.40384,0.170832,-0.723344
19,0.9,0.95,1.23911,0.413033,0.196882,0.520995
20,0.95,1,1.25992,0.417955,0,-3.93764
