j,x,F(x),S(x),diff_F,F'(x),S'(x),diff_F',F''(x),S''(x),diff_F''
0,0,1,1,0,0,0.00963053,-0.00963053,0.666667,0,0.666667
1,0.005,1.00001,1.00005,-4.01705e-05,0.00333328,0.0098412,-0.00650792,0.666633,0.0842672,0.582366
2,0.01,1.00003,1.0001,-6.5782e-05,0.00666622,0.0104732,-0.00380698,0.666533,0.168534,0.497999
3,0.015,1.00007,1.00015,-7.89437e-05,0.0099985,0.0115265,-0.00152804,0.666367,0.252801,0.413565
4,0.02,1.00013,1.00022,-8.17664e-05,0.0133298,0.0130012,0.000328559,0.666134,0.337069,0.329065
5,0.025,1.00021,1.00028,-7.63626e-05,0.0166597,0.0148972,0.00176249,0.665834,0.421336,0.244498
6,0.03,1.0003,1.00036,-6.48464e-05,0.019988,0.0172146,0.00277343,0.665468,0.505603,0.159865
7,0.035,1.00041,1.00046,-4.93338e-05,0.0233143,0.0199533,0.00336104,0.665036,0.58987,0.075166
8,0.04,1.00053,1.00056,-3.19422e-05,0.0266383,0.0231133,0.00352498,0.664538,0.674137,-0.00959916
9,0.045,1.00067,1.00069,-1.47906e-05,0.0299596,0.0266946,0.00326494,0.663974,0.758404,-0.0944301
10,0.05,1.00083,1.00083,0,0.0332779,0.0306973,0.00258057,0.663345,0.842672,-0.179327
11,0.055,1.00101,1.001,1.0757e-05,0.0365929,0.0348515,0.00174137,0.66265,0.819017,-0.156366
12,0.06,1.0012,1.00118,1.76047e-05,0.0399043,0.0388875,0.0010168,0.661891,0.795362,-0.133471
13,0.065,1.00141,1.00139,2.11155e-05,0.0432117,0.0428052,0.000406544,0.661066,0.771707,-0.110641
14,0.07,1.00163,1.00161,2.18601e-05,0.0465148,0.0466046,-8.97174e-05,0.660178,0.748052,-0.0878746
15,0.075,1.00187,1.00185,2.04078e-05,0.0498134,0.0502857,-0.000472309,0.659225,0.724397,-0.0651725
16,0.08,1.00213,1.00211,1.7326e-05,0.053107,0.0538485,-0.000741548,0.658209,0.700742,-0.0425339
17,0.085,1.0024,1.00239,1.31807e-05,0.0563954,0.0572931,-0.000897753,0.657129,0.677088,-0.0199585
18,0.09,1.00269,1.00268,8.53632e-06,0.0596782,0.0606194,-0.000941237,0.655987,0.653433,0.00255418
19,0.095,1.003,1.003,3.95567e-06,0.0629551,0.0638274,-0.000872315,0.654782,0.629778,0.0250046
20,0.1,1.00332,1.00332,0,0.0662259,0.0669172,-0.000691295,0.653516,0.606123,0.0473932
21,0.105,1.00366,1.00366,-2.88817e-06,0.0694902,0.069959,-0.00046881,0.652189,0.610598,0.0415906
22,0.11,1.00402,1.00402,-4.73671e-06,0.0727477,0.0730232,-0.00027549,0.6508,0.615073,0.0357273
23,0.115,1.00439,1.00439,-5.69218e-06,0.0759981,0.0761097,-0.000111637,0.649352,0.619548,0.0298038
24,0.12,1.00478,1.00478,-5.90269e-06,0.0792411,0.0792187,2.24488e-05,0.647844,0.624023,0.0238207
25,0.125,1.00518,1.00519,-5.5178e-06,0.0824764,0.08235,0.000126471,0.646277,0.628498,0.0177786
26,0.13,1.0056,1.00561,-4.68857e-06,0.0857038,0.0855036,0.000200137,0.644651,0.632973,0.0116781
27,0.135,1.00604,1.00604,-3.56751e-06,0.0889228,0.0886797,0.000243156,0.642968,0.637448,0.00551982
28,0.14,1.00649,1.00649,-2.30857e-06,0.0921334,0.0918781,0.00025524,0.641228,0.641923,-0.000695533
29,0.145,1.00696,1.00696,-1.06714e-06,0.095335,0.0950989,0.000236107,0.639431,0.646398,-0.0069673
30,0.15,1.00744,1.00744,0,0.0985276,0.0983421,0.000185474,0.637579,0.650873,-0.0132948
31,0.155,1.00795,1.00794,7.69033e-07,0.101711,0.101587,0.000123696,0.635671,0.647097,-0.0114257
32,0.16,1.00846,1.00846,1.25231e-06,0.104884,0.104813,7.11273e-05,0.633709,0.64332,-0.00961085
33,0.165,1.00899,1.00899,1.49521e-06,0.108048,0.10802,2.74985e-05,0.631694,0.639544,-0.00784953
34,0.17,1.00954,1.00954,1.54175e-06,0.111201,0.111209,-7.45591e-06,0.629626,0.635767,-0.00614096
35,0.175,1.01011,1.0101,1.43467e-06,0.114344,0.114378,-3.39977e-05,0.627506,0.631991,-0.00448435
36,0.18,1.01069,1.01068,1.21537e-06,0.117476,0.117528,-5.23847e-05,0.625335,0.628214,-0.00287892
37,0.185,1.01128,1.01128,9.23988e-07,0.120597,0.12066,-6.28708e-05,0.623114,0.624438,-0.00132384
38,0.19,1.01189,1.01189,5.9941e-07,0.123707,0.123773,-6.57057e-05,0.620843,0.620661,0.000181699
39,0.195,1.01252,1.01252,2.79273e-07,0.126806,0.126867,-6.1135e-05,0.618523,0.616884,0.00163855
40,0.2,1.01316,1.01316,0,0.129892,0.129942,-4.94e-05,0.616155,0.613108,0.00304755
41,0.205,1.01382,1.01382,-2.09823e-07,0.132967,0.133002,-3.47223e-05,0.613741,0.610925,0.00281577
42,0.21,1.01449,1.01449,-3.49347e-07,0.13603,0.136051,-2.13191e-05,0.61128,0.608742,0.00253789
43,0.215,1.01518,1.01518,-4.25519e-07,0.13908,0.139089,-9.41877e-06,0.608774,0.60656,0.00221478
44,0.22,1.01588,1.01588,-4.46413e-07,0.142117,0.142116,7.54787e-07,0.606224,0.604377,0.00184733
45,0.225,1.0166,1.0166,-4.21215e-07,0.145142,0.145133,8.98217e-06,0.603631,0.602194,0.00143646
46,0.23,1.01733,1.01733,-3.60193e-07,0.148153,0.148138,1.50485e-05,0.600994,0.600011,0.000983063
47,0.235,1.01808,1.01808,-2.74682e-07,0.151152,0.151133,1.87435e-05,0.598317,0.597829,0.000488068
48,0.24,1.01884,1.01884,-1.77054e-07,0.154137,0.154117,1.98614e-05,0.595598,0.595646,-4.76037e-05
49,0.245,1.01962,1.01962,-8.06989e-08,0.157108,0.157089,1.82012e-05,0.59284,0.593463,-0.000623019
50,0.25,1.02041,1.02041,0,0.160065,0.160051,1.35665e-05,0.590043,0.59128,-0.00123724
51,0.255,1.02122,1.02122,5.35706e-08,0.163008,0.163,8.09465e-06,0.587208,0.588166,-0.000957736
52,0.26,1.02204,1.02204,8.3121e-08,0.165937,0.165933,3.92762e-06,0.584337,0.585052,-0.000715148
53,0.265,1.02288,1.02288,9.47176e-08,0.168851,0.16885,8.83226e-07,0.581429,0.581937,-0.000508525
54,0.27,1.02373,1.02373,9.35283e-08,0.171751,0.171752,-1.21598e-06,0.578486,0.578823,-0.000336914
55,0.275,1.0246,1.0246,8.38451e-08,0.174636,0.174639,-2.54267e-06,0.575509,0.575709,-0.000199357
56,0.28,1.02548,1.02548,6.9109e-08,0.177506,0.177509,-3.26471e-06,0.572499,0.572594,-9.48959e-05
57,0.285,1.02637,1.02637,5.19336e-08,0.180361,0.180365,-3.54519e-06,0.569457,0.56948,-2.25702e-05
58,0.29,1.02728,1.02728,3.4129e-08,0.183201,0.183204,-3.54237e-06,0.566384,0.566366,1.85808e-05
59,0.295,1.02821,1.02821,1.6726e-08,0.186025,0.186028,-3.40974e-06,0.563281,0.563251,2.95184e-05
60,0.3,1.02914,1.02914,0,0.188833,0.188837,-3.29594e-06,0.560148,0.560137,1.12033e-05
61,0.305,1.03009,1.03009,-1.59433e-08,0.191626,0.191629,-3.00794e-06,0.556987,0.556888,9.9362e-05
62,0.31,1.03106,1.03106,-2.94596e-08,0.194403,0.194406,-2.34788e-06,0.553799,0.553639,0.000160186
63,0.315,1.03204,1.03204,-3.90261e-08,0.197164,0.197166,-1.45004e-06,0.550584,0.55039,0.000194632
64,0.32,1.03303,1.03303,-4.37798e-08,0.199909,0.19991,-4.43938e-07,0.547344,0.547141,0.000203653
65,0.325,1.03404,1.03404,-4.34932e-08,0.202638,0.202637,5.45693e-07,0.54408,0.543892,0.0001882
