i,x_{i-1},x_i,a,b,c,d
1,0,0.05,1.87842,-4.36697,-116.116,-2322.33
2,0.05,0.1,1.54362,-8.45059,-47.2284,1377.76
3,0.1,0.15,1.07818,-9.84469,-8.5356,773.856
4,0.15,0.2,0.597013,-8.96738,43.6281,1043.27
5,0.2,0.25,0.21927,-5.82049,82.2472,772.382
6,0.25,0.3,0.03915,-1.2224,101.676,388.584
7,0.3,0.35,0.102814,3.72276,96.13,-110.928
8,0.35,0.4,0.397074,7.80682,67.2327,-577.945
9,0.4,0.45,0.8526,10.0371,21.9788,-905.078
10,0.45,0.5,1.36088,9.87307,-28.5407,-1010.39
11,0.5,0.55,1.80076,7.36032,-71.969,-868.566
12,0.55,0.6,2.0681,3.11898,-97.6846,-514.312
13,0.6,0.65,2.10124,-1.80771,-99.3831,-33.9708
14,0.65,0.7,1.89607,-6.21025,-76.7186,453.291
15,0.7,0.75,1.50703,-9.00361,-35.0157,834.056
16,0.75,0.8,1.03377,-9.51292,14.643,993.176
17,0.8,0.85,0.596714,-7.56383,63.3207,973.552
18,0.85,0.9,0.307559,-3.80465,87.0467,474.52
19,0.9,0.95,0.241933,1.4956,124.963,758.336
20,0.95,1,0.42085,4.61969,0,-2499.27
