j,x,F(x),S(x),diff_F,F'(x),S'(x),diff_F',F''(x),S''(x),diff_F''
0,0,2,2,0,0,-1.46406,1.46406,-99.3333,-1.42109e-14,-99.3333
1,0.005,1.99876,1.99263,0.00612727,-0.496458,-1.49309,0.99663,-99.2084,-11.6116,-87.5968
2,0.01,1.99504,1.98497,0.0100651,-0.991668,-1.58018,0.588508,-98.8339,-23.2233,-75.6106
3,0.015,1.98885,1.97673,0.0121133,-1.48438,-1.72532,0.240938,-98.2107,-34.8349,-63.3758
4,0.02,1.9802,1.96762,0.0125775,-1.97336,-1.92852,-0.0448386,-97.3405,-46.4466,-50.894
5,0.025,1.96912,1.95735,0.0117699,-2.45738,-2.18979,-0.267593,-96.2254,-58.0582,-38.1672
6,0.03,1.95564,1.94563,0.0100087,-2.93521,-2.50911,-0.426107,-94.8682,-69.6698,-25.1983
7,0.035,1.93978,1.93216,0.00761793,-3.40566,-2.88649,-0.519179,-93.2722,-81.2815,-11.9908
8,0.04,1.92159,1.91667,0.00492792,-3.86755,-3.32192,-0.545624,-91.4416,-92.8931,1.45155
9,0.045,1.90112,1.89885,0.00227467,-4.3197,-3.81542,-0.50428,-89.3807,-104.505,15.124
10,0.05,1.87842,1.87842,0,-4.76098,-4.36697,-0.394008,-87.0949,-116.116,29.0215
11,0.055,1.85353,1.85516,-0.00162576,-5.19028,-4.93033,-0.25995,-84.5898,-109.228,24.6378
12,0.06,1.82653,1.82917,-0.00263514,-5.60652,-5.45924,-0.147275,-81.8717,-102.339,20.4671
13,0.065,1.79749,1.80062,-0.00313241,-6.00865,-5.95372,-0.0549354,-78.9473,-95.45,16.5027
14,0.07,1.76647,1.76969,-0.0032167,-6.39566,-6.41374,0.0180829,-75.824,-88.5612,12.7372
15,0.075,1.73356,1.73654,-0.00298215,-6.76657,-6.83933,0.0727547,-72.5097,-81.6724,9.16273
16,0.08,1.69884,1.70135,-0.00251817,-7.12045,-7.23047,0.110015,-69.0125,-74.7836,5.77113
17,0.085,1.66239,1.6643,-0.00190953,-7.45641,-7.58716,0.130756,-65.3412,-67.8948,2.55361
18,0.09,1.6243,1.62554,-0.00123672,-7.77359,-7.90942,0.135826,-61.505,-61.006,-0.499011
19,0.095,1.58468,1.58526,-0.000576057,-8.0712,-8.19722,0.126025,-57.5135,-54.1172,-3.39633
20,0.1,1.54362,1.54362,0,-8.34848,-8.45059,0.102105,-53.3767,-47.2284,-6.14831
21,0.105,1.50123,1.5008,0.000435212,-8.60474,-8.67706,0.0723156,-49.1049,-43.3591,-5.74579
22,0.11,1.45761,1.45689,0.000727039,-8.83933,-8.88418,0.0448541,-44.7088,-39.4898,-5.21897
23,0.115,1.41288,1.41199,0.000888627,-9.05164,-9.07196,0.0203148,-40.1994,-35.6206,-4.57883
24,0.12,1.36713,1.3662,0.000935957,-9.24115,-9.24039,-0.000764079,-35.5879,-31.7513,-3.83665
25,0.125,1.3205,1.31962,0.000887559,-9.40737,-9.38947,-0.0179009,-30.886,-27.882,-3.00396
26,0.13,1.2731,1.27234,0.000764227,-9.54988,-9.51921,-0.0306724,-26.1052,-24.0127,-2.09251
27,0.135,1.22505,1.22446,0.000588721,-9.66831,-9.6296,-0.0387146,-21.2577,-20.1434,-1.11426
28,0.14,1.17646,1.17607,0.000385473,-9.76236,-9.72064,-0.0417238,-16.3555,-16.2742,-0.0813229
29,0.145,1.12746,1.12728,0.000180279,-9.83179,-9.79234,-0.0394571,-11.4108,-12.4049,0.994038
30,0.15,1.07818,1.07818,0,-9.87642,-9.84469,-0.0317333,-6.43614,-8.5356,2.09946
31,0.155,1.02874,1.02887,-0.000133369,-9.89613,-9.87433,-0.0218008,-1.44381,-3.31923,1.87542
32,0.16,0.979262,0.979482,-0.000219842,-9.89085,-9.87788,-0.0129705,3.55366,1.89714,1.65652
33,0.165,0.929873,0.930138,-0.000264917,-9.8606,-9.85535,-0.00524785,8.54378,7.11351,1.43028
34,0.17,0.880697,0.880972,-0.000274276,-9.80545,-9.80675,0.00129919,13.5141,12.3299,1.1842
